hero      section        cols      hits  hp lost  deaths  falls  got    secs
knight    MELTFALLS      3-127     2     20       0       0      76%    60
knight    THE LINN       128-167   2     24       0       0      7%     60
knight    DOCK           168-179   0     0        0       0      end    10.1
knight    FERRY RUN      180-317   4     48       0       0      19%    60
knight    BORE REACH     318-365   2     24       0       0      end    22.9
knight    SALTREACH      366-437   1     25       0       0      85%    60
knight    SLUICE STAIR   438-503   1     12       0       0      end    26.5
knight    SQUARE ROAD    504-521   2     25       0       0      63%    60
warden    MELTFALLS      3-127     1     11       0       0      76%    60
warden    THE LINN       128-167   2     24       0       0      7%     60
warden    DOCK           168-179   0     0        0       0      end    11.4
warden    FERRY RUN      180-317   2     26       0       0      19%    60
warden    BORE REACH     318-365   2     24       0       0      end    21.3
warden    SALTREACH      366-437   7     90       0       0      85%    60
warden    SLUICE STAIR   438-503   1     13       0       0      end    27.5
warden    SQUARE ROAD    504-521   1     12       0       0      63%    60
errors []
